feature,importance
btc_close_ma7,0.07290869
btc_close_lag1,0.06506423
btc_close_ma14,0.06455066
days_since_halving,0.044528037
btc_close_ma90,0.03793254
oil_close_ret30d,0.033767603
log_nasdaq_close,0.02947057
log_btc_close,0.027248709
log_oil_close,0.025598973
krw_close,0.022968875
btc_nasdaq_ratio,0.022262715
btc_volume,0.02168344
sp500_close,0.020045346
btc_gold_corr30,0.01926109
btc_gold_ratio,0.019143242
btc_above_ma30,0.017418427
btc_close_ma200,0.0173304
btc_ma90_pct,0.01723214
macd_signal,0.015737839
bb_lower,0.015111218
oil_close,0.014683606
hashrate,0.014679337
log_krw_close,0.014392411
nasdaq_close,0.013971503
btc_close_lag60,0.013822251
gold_close,0.013457143
dxy_close,0.013361976
log_dxy_close,0.0129305255
btc_vol_30d,0.012710084
btc_close_ma30,0.012618928
btc_close_lag90,0.012616603
btc_ma200_pct,0.011701755
btc_close_ma50,0.011450644
btc_ma30_pct,0.011341914
dxy_close_ret30d,0.010304555
btc_oil_ratio,0.009664542
btc_close_lag30,0.009491751
btc_nasdaq_corr30,0.009218541
nasdaq_volume,0.009195053
bb_upper,0.008824845
btc_sp500_corr30,0.008591332
bb_width,0.008403758
macd,0.007758141
log_gold_close,0.0076198
log_sp500_close,0.0075897216
btc_close_lag7,0.0074837706
btc_sp500_ratio,0.0071413824
btc_oil_corr30,0.0069360933
btc_vol_60d,0.006930176
macd_hist,0.0067666257
sp500_close_ret30d,0.0056266417
btc_above_ma90,0.005182083
gold_volume,0.0050853444
btc_close_ret7d,0.0050810636
btc_close_ret30d,0.0047788923
oil_close_ret7d,0.0046341
nasdaq_close_ret30d,0.0037839045
bb_position,0.0037541853
btc_above_ma200,0.003286432
gold_close_ret30d,0.002843661
oil_volume,0.002720931
krw_close_ret7d,0.002676943
sp500_volume,0.0025465367
krw_close_ret30d,0.0025374247
btc_vol_7d,0.002383416
btc_close_lag14,0.002351797
gold_close_ret7d,0.0022337637
rsi_14,0.0021809295
dxy_close_ret7d,0.0019640764
sp500_close_ret7d,0.0016295312
nasdaq_close_ret7d,0.0015451307
btc_close_ret1d,0.0014050498
krw_close_ret1d,0.0010396335
sp500_close_ret1d,0.00087769266
oil_close_ret1d,0.0007708276
dxy_close_ret1d,0.0007473354
gold_close_ret1d,0.000706688
nasdaq_close_ret1d,0.00070242933
event_covid_crash,0.0
event_luna_terra_crash,0.0
event_ukraine_war,0.0
dxy_volume,0.0
event_ftx_collapse,0.0
event_spot_btc_etf,0.0
event_us_election_2024,0.0
halving_era,0.0
event_china_btc_ban,0.0
