feature,importance
days_since_halving,0.3973498450974443
oil_close,0.12701427159176168
log_oil_close,0.12395929199954231
btc_ma200_pct,0.04334768308800676
btc_close_ma200,0.04221563175575756
btc_gold_ratio,0.041756704435174485
btc_ma90_pct,0.027713903169292543
btc_vol_60d,0.01990781445490026
btc_oil_corr30,0.016716206640704372
bb_width,0.014387823918337652
oil_volume,0.011879236041730582
log_nasdaq_close,0.008965984485870422
nasdaq_close,0.008028465618508226
btc_close_ma50,0.0074761654972996285
btc_vol_30d,0.007301887347882029
btc_close_ma90,0.00615540030163407
sp500_close,0.005903294400250183
btc_vol_7d,0.0058506090568148875
log_sp500_close,0.005467972744955348
btc_close_ma30,0.0049117778919135135
dxy_close,0.004595986829995259
bb_lower,0.004334105250337217
krw_close_ret30d,0.0041055027511811455
log_dxy_close,0.0036624016751064595
btc_close_ma14,0.003464282079934157
log_gold_close,0.0031670747270242557
gold_close,0.002979817884031258
btc_close_lag60,0.002617928625431347
hashrate,0.0025483702214114394
btc_oil_ratio,0.00245769888704412
btc_gold_corr30,0.0024128768321864382
btc_nasdaq_ratio,0.0023091220184536516
btc_ma30_pct,0.0022422481233293746
btc_close_lag90,0.0022223130270477903
btc_close_lag30,0.0021877345730321024
macd_signal,0.0021875924501278143
gold_close_ret30d,0.0021872353890800608
btc_close_lag14,0.001867175027660367
macd,0.0016713575623698033
log_btc_close,0.0016566760620357166
btc_close_lag7,0.0015467252263291235
bb_upper,0.0015161739562578004
btc_sp500_ratio,0.0014739055932994007
oil_close_ret30d,0.0013951342824788612
btc_close_ma7,0.001327510535423313
btc_sp500_corr30,0.0012927435125444364
fear_greed,0.0011400196884866602
btc_nasdaq_corr30,0.001067060338040181
btc_close_lag1,0.0009929807613515528
dxy_close_ret30d,0.0008011808190575079
sp500_close_ret30d,0.0006693064642775923
nasdaq_close_ret30d,0.0006515821383094721
log_krw_close,0.0006154032142771029
gold_volume,0.0005824131521722181
krw_close,0.0005407840400764031
btc_close_ret30d,0.0004108487859376417
macd_hist,0.00036199573906597925
rsi_14,0.0003348816080804779
bb_position,0.0003084925818010445
btc_volume,0.0002735752990283824
sp500_close_ret7d,0.00024551584236540234
sp500_volume,0.00023078963997721436
gold_close_ret7d,0.00019083376724300758
dxy_close_ret7d,0.0001780862388415509
nasdaq_volume,0.00015434024857892447
nasdaq_close_ret7d,0.00012830148750684844
krw_close_ret7d,0.00012534929883571837
oil_close_ret7d,0.00011039264841452067
btc_close_ret7d,6.465908169252855e-05
btc_above_ma200,3.618361943939593e-05
event_ftx_collapse,2.002663846319597e-05
event_ukraine_war,1.6141268309192667e-05
btc_above_ma30,4.002170265250886e-06
btc_close_ret1d,3.7938308839711736e-06
sp500_close_ret1d,1.396948287329124e-06
krw_close_ret1d,0.0
event_spot_btc_etf,0.0
btc_above_ma90,0.0
halving_era,0.0
gold_close_ret1d,0.0
event_luna_terra_crash,0.0
oil_close_ret1d,0.0
event_china_btc_ban,0.0
event_covid_crash,0.0
dxy_volume,0.0
nasdaq_close_ret1d,0.0
dxy_close_ret1d,0.0
event_us_election_2024,0.0
